"PO Report FY2013",,,,,
"Please note that this report contains individual line items for each purchase order.",,,,,
,,,,,
"PO Number","Agency","Commodity","Vendor Name","Ordered DAte","PO amount"
"PO454124","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","COMMUNITY ACADEMY PCS",10-Jan-13,"209,661.06"
"PO454125","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","CESAR CHAVEZ PCS",10-Jan-13,"228,099.19"
"PO454126","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","CENTER CITY PCS",10-Jan-13,"218,124.73"
"PO454127","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9183800:Education and Training Consulting","MAYA ANGELOU PCS",10-Jan-13,"214,808.24"
"PO454128","DISTRICT DEPARTMENT OF THE ENVIRONMENT","9264200:Environmental Services (Not Otherwise Classified)","EARTH CONSERVATION CORPORATION",10-Jan-13,"47,200.00"
"PO454129","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","8309500:Recycled Tanks, Accessories and Supplies","J W PEPPER & SON INC",10-Jan-13,"1,985.12"
"PO454130","METROPOLITAN POLICE DEPARTMENT","9204533:MAINTENANCE, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",24-Jan-13,"200,066.00"
"PO454131","OFFICE OF CHIEF TECHNOLOGY OFFICER","9183000:Computer Network Consulting","OST, Inc.",10-Jan-13,"58,886.40"
"PO454132-V3","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","Ross Professional Services",12-Jun-13,"89,999.90"
"PO454133","OFFICE OF CHIEF TECHNOLOGY OFFICER","9183000:Computer Network Consulting","OST, Inc.",10-Jan-13,"29,799.00"
"PO454134","CHILD AND FAMILY SERVICES","2077212:ACCESSORIES AND SUPPLIES, MICROCOMPUTER PRINTER","MVS, Inc.",10-Jan-13,"1,139.49"
"PO454134","CHILD AND FAMILY SERVICES","ACCESSORIES FOR RICOH DIGITAL COPIER MODELS AFICIO 1013, 1015, 551/ARDF, 1060, 1085, 1105, AND COLOR 4506","MVS, Inc.",10-Jan-13,"1,450.53"
"PO454134","CHILD AND FAMILY SERVICES","2047758:PRINTERS, LASER JET","MVS, Inc.",10-Jan-13,"2,778.39"
"PO454135","DEPARTMENT OF PARKS AND RECREATION","8552200:Curtains, Cycloramas, Draperies, Drops, etc.","Exclusively Expo In",10-Jan-13,"3,923.32"
"PO454136","DEPARTMENT OF PARKS AND RECREATION","3503500:Flags, County","KENGLA FLAG CO.",10-Jan-13,"3,473.78"
"PO454137-V2","DEPARTMENT OF PUBLIC WORKS","9687200:Snow and Ice Removal Services","D.C WATER AND SEWER AUTHORITY",12-Jul-13,"53,887.47"
"PO454138-V2","DEPARTMENT OF PUBLIC WORKS","9687200:Snow and Ice Removal Services","KEVIN DOCKETT & SONS TRUCK INC",19-Mar-13,"6,000.00"
"PO454139-V2","DEPARTMENT OF TRANSPORTATION","9980900:Automobile, Truck and Bus Parts and Equipment","VALLEY SUPPLY & EQUIPMENT CO",22-May-13,"100,000.00"
"PO454140","DEPARTMENT OF PUBLIC WORKS","9462000:Auditing","MHM FINANCIAL SERVICES INC.",10-Jan-13,"31,730.00"
"PO454142","DEPARTMENT OF FORENSICS SCIENCES","9386300:Laboratory Equipment and Accessories: Specialized, Biochemistry, Biology, Chemistry, etc., Maintenance and Repair","QIAGEN INC",10-Jan-13,"2,616.00"
"PO454144","OFFICE OF CHIEF FINANCIAL OFFICER","9184900:Finance/Economics Consulting","Sally Wallace",10-Jan-13,"15,000.00"
"PO454145","OFFICE OF CHIEF FINANCIAL OFFICER","9184900:Finance/Economics Consulting","David L. Sjoquist",10-Jan-13,"15,000.00"
"PO454146","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","BRUDIS & ASSOCIATES INC",10-Jan-13,"125,000.00"
"PO454147","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","PRECISION SYSTEMS INC",11-Jun-13,"125,000.00"
"PO454148","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","KLS Engineering LLC",10-Jan-13,"291,146.35"
"PO454149","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","KLS Engineering LLC",10-Jan-13,"98,765.40"
"PO454150","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6453337:PAPER, COPIER, MULTI-PURPOSE","SKY,LLC DBA/US-OFFICE SOLUTION",10-Jan-13,985.66
"PO454151","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9660727:PRINTING OF BUSINESS CARDS, TWO COLORS, WHITE SMOOTH FINISH PAPER","ID SYSTEMS INC",10-Jan-13,112.9
"PO454152","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","LISTENING CENTERS","DEMCO INC",10-Jan-13,696
"PO454153","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9625800:Professional Services (Not Otherwise Classified)","RED THINKING LLC",10-Jan-13,150
"PO454154","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9620500:Amusement and Entertainment Services (Incl. Performing Arts Professionals)","WASHINGTON WIZARDS",10-Jan-13,"3,990.00"
"PO454155","PUBLIC SERVICE COMMISSION","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","Avineon, Inc.",10-Jan-13,"2,300.00"
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2073030:DISKS, CD-ROM, RECORDABLE","AMERICAN EXPRESS COMPANY",10-Jan-13,19.47
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6157361:PADS, POST-IT NOTE, 100% RECYCLED, FOR USE AS REFILLS FOR THE POP-UP TYPE DISPENSER","AMERICAN EXPRESS COMPANY",10-Jan-13,5.34
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6208026:PENS, BALL POINT, RETRACTABLE, NON-REFILLABLE, PLASTIC BARREL","AMERICAN EXPRESS COMPANY",10-Jan-13,53.56
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6453337:PAPER, COPIER, MULTI-PURPOSE","AMERICAN EXPRESS COMPANY",10-Jan-13,774.27
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6208056:PENS, ROLLER BALL WRITER","AMERICAN EXPRESS COMPANY",10-Jan-13,21.97
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","8011255:HOLDERS, SIGN","AMERICAN EXPRESS COMPANY",10-Jan-13,8.86
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6151554:BOOKS, PLANNER","AMERICAN EXPRESS COMPANY",10-Jan-13,16.72
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6158885:TAPE, TRANSPARENT, SCOTCH MAGIC TAPE OR EQUAL","AMERICAN EXPRESS COMPANY",10-Jan-13,53.87
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6206053:PENCILS, WOOD CASED, FIRST GRADE, THIN LEAD, BLACK LEAD, FOR ACCOUNTING USE","AMERICAN EXPRESS COMPANY",10-Jan-13,3.3
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6156915:CLIPS, PAPER","AMERICAN EXPRESS COMPANY",10-Jan-13,28.95
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","0802515:HOLDER, CERTIFICATE","AMERICAN EXPRESS COMPANY",10-Jan-13,128.6
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2077983:TONER CARTRIDGES, LASER PRINTER, REMANUFACTURED","AMERICAN EXPRESS COMPANY",10-Jan-13,"3,076.60"
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","SUPPLIES FOR NEW PANASONIC FAX MACHINES","AMERICAN EXPRESS COMPANY",10-Jan-13,31.7
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6154526:FOLDERS, FILE, COLORED STOCK, DOUBLE TOP, STANDARD HEIGHT, 11 POINT","AMERICAN EXPRESS COMPANY",10-Jan-13,83.58
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2073010:CASES, CD-ROM","AMERICAN EXPRESS COMPANY",10-Jan-13,11.18
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","0804500:Folders, Presentation","AMERICAN EXPRESS COMPANY",10-Jan-13,176.4
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6156230:PADS, BOND PAPER, FOR USE ON EASEL, WHITE","AMERICAN EXPRESS COMPANY",10-Jan-13,51.52
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6151558:BOOKS, RECORD","AMERICAN EXPRESS COMPANY",10-Jan-13,17.12
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6156711:CLIPS, PAPER, BALL BEARING","AMERICAN EXPRESS COMPANY",10-Jan-13,3.09
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","PENS AND REFILLS, ROLLERBALL W/GEL INK, RETRACTIBLE, REFILLABLE, RUBBERIZED GRIP, 0.7MM POINT","AMERICAN EXPRESS COMPANY",10-Jan-13,94.85
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6209031:MARKERS, HIGHLIGHTERS, FLAT ANGULAR POINT, PERMANENT","AMERICAN EXPRESS COMPANY",10-Jan-13,14.42
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","3102447:ENVELOPES, MANILA, OPEN END, GUMMED FLAP, PRINTED","AMERICAN EXPRESS COMPANY",10-Jan-13,15.76
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","6157340:FOLDER, CLASSIFICATION, RECYCLED","AMERICAN EXPRESS COMPANY",10-Jan-13,108.4
"PO454156","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2077250:LABELS, LASER PRINTER","AMERICAN EXPRESS COMPANY",10-Jan-13,75.05
"PO454157","OFFICE OF PEOPLE'S COUNSEL","9614900:Legal Services, Attorneys","SNR DENTON US LLP",10-Jan-13,"27,000.00"
"PO454158","PUBLIC SERVICE COMMISSION","9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","RCR Associates, LLC",10-Jan-13,"22,000.00"
"PO454159","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",10-Jan-13,209.98
"PO454160","DEPARTMENT OF FORENSICS SCIENCES","2045340:MICROCOMPUTERS, DESKTOP","APPLE COMPUTER INC",10-Jan-13,"3,117.95"
"PO454162","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING","THE AD AGENCY",10-Jan-13,"5,000.00"
"PO454175","DEPARTMENT OF HEALTH","9625800:Professional Services (Not Otherwise Classified)","Not-For-Profit Hospital Corp.",10-Jan-13,"285,000.00"
"PO454177","DEPARTMENT OF HEALTH","2009255:JACKETS, CHORE","THE HAMILTON GROUP",10-Jan-13,"5,000.00"
"PO454178-V2","DEPARTMENT OF HEALTH","6157361:PADS, POST-IT NOTE, 100% RECYCLED, FOR USE AS REFILLS FOR THE POP-UP TYPE DISPENSER","MDM Office Systems DBA Standard Office Supply",31-May-13,"50,125.00"
"PO454179","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","8831600:Audiotex Voice Response Systems","WASHINGTON PROFESSIONAL SYSTEM",10-Jan-13,"1,426.88"
"PO454182","DEPARTMENT OF HUMAN SERVICES","6007000:Machine Repair Tools, Office","HI-TECH SOLUTION, INC.",11-Jan-13,"7,673.00"
"PO454183","FIRE AND EMERGENCY MEDICAL SERVICES","3408700:Training Equipment and Supplies, Fire and Safety","K & K INTERNATIONAL, INC.",11-Jan-13,"10,375.00"
"PO454184","DEPARTMENT OF HUMAN SERVICES","9524300:Family and Social Services (Including Shopping and Buying Services)","EFFORTS",11-Jan-13,"210,000.00"
"PO454185","DEPARTMENT OF TRANSPORTATION","9157100:Newspaper and Publication Advertising","WASHINGTON NEWSPAPER PUBLISHI",14-Jan-13,"5,000.00"
"PO454186-V4","DEPARTMENT OF HEALTH","9487200:Pharmaceutical Services","FALCON EXPRESS TRANSPORTATION",18-Jul-13,"33,000.00"
"PO454187","DEPARTMENT OF TRANSPORTATION","9132700:Construction, Highway and Road","KLS Engineering LLC",11-Jan-13,"595,320.81"
"PO454188-V2","OFFICE OF HUMAN RIGHTS","9610200:Administrative Services, All Kinds  (Incl. Clerical,  Secretarial Services, etc.)","Sayda C. Zelaya",21-Jun-13,500
"PO454189","DEPARTMENT OF CORRECTIONS","9201400:Applications Software (For Minicomputer Systems)","GE Healthcare IITS LLC",11-Jan-13,"22,984.00"
"PO454190","DEPARTMENT OF PARKS AND RECREATION","9625800:Professional Services (Not Otherwise Classified)","INDEPENDENT OFFICIALS ASSOC.",11-Jan-13,"49,500.00"
"PO454191","DEPART OF YOUTH REHABILITATION SERVICES","9983700:Electrical Supplies","General Merchandise Supplies",11-Jan-13,"8,000.00"
"PO454192","DEPARTMENT OF HUMAN SERVICES","9526400:Mortuary and Funeral (Including Crematory Services)","R. N. Horton Company Mortician",11-Jan-13,"45,000.00"
"PO454193","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9981800:Books, All Types (Library, School, etc.)","INTAC INC",11-Jan-13,701.07
"PO454194","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9628600:Transportation of Goods and other Freight Services","TEACHER CREATED MATERIALS, INC",11-Jan-13,190
"PO454194","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7151037:BOOKS, LIBRARY","TEACHER CREATED MATERIALS, INC",11-Jan-13,"1,899.97"
"PO454195","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)","Junior Achievement of Central",11-Jan-13,"1,600.00"
"PO454208-V2","OFFICE OF CHIEF TECHNOLOGY OFFICER","9183000:Computer Network Consulting","OST, Inc.",22-Feb-13,"20,438.40"
"PO454209","OFFICE OF CHIEF TECHNOLOGY OFFICER","9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE","OST, Inc.",11-Jan-13,"12,993.60"
"PO454210","HOMELAND SECURITY GRANTS","9615600:Program/Project Development and Management Services","OST, Inc.",11-Jan-13,"69,960.10"
"PO454211-V2","DEPARTMENT OF HEALTH","9183000:Computer Network Consulting","OST, Inc.",14-Jun-13,"113,716.00"
"PO454212-V3","D.C. DEPARTMENT OF HUMAN RESOURCES","9090300:Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.","ADP, INC",27-Sep-13,"132,930.00"
"PO454213","DEPARTMENT OF TRANSPORTATION","9189600:Transportation Consulting","Thompson Coburn, LLP",11-Jan-13,"96,800.00"
"PO454214","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7853200:Classroom Equipment and Supplies (Not Otherwise Classified)","WILSON LANGUAGE TRAINING CORP.",11-Jan-13,195.8
"PO454215","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9150400:Advertising, Outdoor Billboard, etc.","CBS OUTDOOR",11-Jan-13,"1,400.00"
"PO454216","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","4258072:SHELVING, WIRE, EPOXY COATED","DEMCO INC",11-Jan-13,120.91
"PO454217","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2045446:MICROCOMPUTERS, LAPTOP","CDW Government, Inc.",11-Jan-13,"1,116.00"
"PO454218","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9240500:Advisory Services, Educational","INGENUITY PREP",11-Jan-13,"170,000.00"
"PO454219-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","OPTIONS PUBLIC CHARTER SCHOOL",10-Sep-13,"309,421.98"
"PO454220-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","MAYA ANGELOU PCS",10-Sep-13,"438,025.48"
"PO454222-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","HOWARD ROAD ACADEMY PCS",19-Sep-13,"572,430.66"
"PO454223-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","HOSPITALITY HIGH SCHOOL OF DC",10-Sep-13,"160,512.65"
"PO454224-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","FRIENDSHIP PCS",11-Sep-13,"2,695,838.96"
"PO454225-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","ELSIE WHITLOW STOKES PCS",11-Sep-13,"249,954.94"
"PO454226-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","DC BILINGUAL PCS",11-Sep-13,"221,430.10"
"PO454227-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","COMMUNITY ACADEMY PCS",11-Sep-13,"945,670.91"
"PO454228-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","CESAR CHAVEZ PCS",11-Sep-13,"975,646.17"
"PO454229-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","CENTER CITY PCS",11-Sep-13,"982,414.77"
"PO454230-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","CAPITAL CITY PCS",11-Sep-13,"726,174.70"
"PO454231-V2","STATE SUPERINTENDENT OF EDUCATION (OSSE)","9529500:Youth Care Services","BOOKER T WASHINGTON PCS",11-Sep-13,"169,215.14"
"PO454232","INAUGURAL EXPENSES","9132700:Construction, Highway and Road","SUNBELT",11-Jan-13,"65,451.37"
"PO454233","DEPARTMENT OF HEALTH CARE FINANCE","9188500:Personnel/Employment Consulting","OST, Inc.",11-Jan-13,"170,040.00"
"PO454234","INAUGURAL EXPENSES","9132700:Construction, Highway and Road","M C DEAN INC",11-Jan-13,"106,915.70"
"PO454235","OFFICE OF CHIEF TECHNOLOGY OFFICER","9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","The Pittman Group, Inc DBA VANTIX",15-Jan-13,"119,400.00"
"PO454236","DEPARTMENT OF CORRECTIONS","4957300:Physiological Testing and Recording Equipment (Single and Multichannel), and Accessories: Electrodes, Monitors, Stimulators, etc.","Specialized Forensic Psycholog",11-Jan-13,"6,000.00"
"PO454237-V2","METROPOLITAN POLICE DEPARTMENT","9204522:SOFTWARE LICENSING AND RELATED SUPPORT SERVICES, OHIO","INTERGRAPH CORPORATION",14-May-13,"378,632.31"
"PO454238","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2094400:Educational: Foreign Languages, Math, Science, Social Studies, etc.","SCHOOL SPECIALTY",11-Jan-13,796.61
"PO454239","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9248000:Tutoring","Kid Power, Inc.",11-Jan-13,"7,500.00"
"PO454240","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2045457:MICROCOMPUTERS, NOTEBOOK","BARNES & NOBLE BOOKSELLERS INC",11-Jan-13,899.4
"PO454241","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7257470:RADIOS, TWO-WAY, WALKIE TALKIE, PARTS AND ACCESSORIES","TELTRONIC INC",11-Jan-13,807
"PO454242","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2045446:MICROCOMPUTERS, LAPTOP","Dell Computer Corp.",11-Jan-13,"1,895.76"
"PO454243","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9240500:Advisory Services, Educational","VELOCITY",11-Jan-13,"4,000.00"
"PO454244-V2","DEPARTMENT OF PUBLIC WORKS","9687200:Snow and Ice Removal Services","G & R Trucking Inc",19-Mar-13,"11,000.00"
"PO454245","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BOARDS, MENU, MARQUE PANELS, CHANGEABLE LETTERS AND NUMBERS","GELBERG SIGNS",11-Jan-13,775
"PO454246","DEPARTMENT OF TRANSPORTATION","9838650:RENTAL OF UNIFORMS FOR MEN AND WOMEN","General Merchandise Supplies",11-Jan-13,"6,239.80"
"PO454247","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9183800:Education and Training Consulting","Battelle for Kids",11-Jan-13,"107,900.00"
"PO454248","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","0377845:LITTER BAGS, IMPRINTED","TOUCAN PRINTING & PROMO PROD",11-Jan-13,"2,310.00"
"PO454248","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","0377851:MAGNETS, IMPRINTED","TOUCAN PRINTING & PROMO PROD",11-Jan-13,340
"PO454248","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2007475:SHIRTS, TEE, ASSORTED SPORT SCREEN PRINTS ON SOLID COLORS, COTTON OR COTTON BLEND, SHORT SLEEVES, PULLOVER","TOUCAN PRINTING & PROMO PROD",11-Jan-13,448.5
"PO454250","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2046860:PARTS AND ACCESSORIES, LAPTOP/NOTEBOOK COMPUTERS","APPLE COMPUTER INC",11-Jan-13,"1,723.80"
"PO454251-V2","DEPARTMENT OF HEALTH","9613065:EMPLOYMENT AGENCY SERVICES. THE CONTRACTOR SHALL PROVIDE THE SERVICES OF THE TEMPORARY PERSONNEL AS SPECIFIED BY THE STATE.","MAGNIFICUS CORPORATION",19-Jun-13,"99,980.00"
"PO454252","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9183800:Education and Training Consulting","RACKSPACE US INC.",11-Jan-13,"31,782.00"
"PO454265-V3","DEPARTMENT OF PUBLIC WORKS","9264557:DISPOSAL OF UNUSABLE PESTICIDES (A HAZARDOUS WASTE) SERVICES. THE CONTRACTOR SHALL FURNISH ALL SUPPLIES, CONTAINERS, EQUIPMENT, TRANSPORTATION AND LABOR NECESSARY TO MEET THIS SERVICE REQUIREMENT","DIXON'S PEST CONTROL INC",25-Sep-13,220
"PO454266","DEPARTMENT OF GENERAL SERVICES","9092400:Building Construction, Commercial and Institutional","JPN Masonry, LLC",14-Jan-13,"100,000.00"
"PO454267","DEPARTMENT OF GENERAL SERVICES","9904600:Guard and Security Services","FAAC INCORPORATED",14-Jan-13,"17,995.00"
"PO454269","OFFICE OF THE INSPECTOR GENERAL","RENTAL OF PARKING SPACES","717 14TH STREET LLC",14-Jan-13,225
"PO454270-V2","OFFICE OF LATINO AFFAIRS","9625800:Professional Services (Not Otherwise Classified)","AYUDA, INC.",20-Aug-13,"65,000.00"
"PO454271-V2","OFFICE OF THE CHIEF MEDICAL EXAMINER","9485550:MEDICAL SERVICES, PHYSICAL EXAMINATION","CVPATH INSTITUTE, INC.",8-Mar-13,"4,500.00"
"PO454272","OFFICE OF THE CHIEF MEDICAL EXAMINER","9625800:Professional Services (Not Otherwise Classified)","PROVIDENCE HOSPITAL",14-Jan-13,"3,000.00"
"PO454273","DEPT. OF HOUSING AND COMM. DEVELOPMENT","9634800:Membership Dues","National Organization",14-Jan-13,"6,000.00"
"PO454274","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,192.82
"PO454275","COUNCIL OF THE DISTRICT OF COLUMBIA","9660727:PRINTING OF BUSINESS CARDS, TWO COLORS, WHITE SMOOTH FINISH PAPER","SENODA, INC.",14-Jan-13,510
"PO454276","COUNCIL OF THE DISTRICT OF COLUMBIA","9180600:Administrative Consulting","LEXI NEXIS MATHEW BENDER",14-Jan-13,"8,640.00"
"PO454277","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,27.95
"PO454278","COUNCIL OF THE DISTRICT OF COLUMBIA","9180600:Administrative Consulting","PLANET TECHNOLOGIES Inc",14-Jan-13,"2,500.00"
"PO454279","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,263.88
"PO454280","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,"1,389.90"
"PO454281","COUNCIL OF THE DISTRICT OF COLUMBIA","9180600:Administrative Consulting","INTERIOR DIMENSIONS GROUP, INC",14-Jan-13,"7,000.00"
"PO454282","COUNCIL OF THE DISTRICT OF COLUMBIA","1553800:Field Offices and Sheds, Construction Type","INTERIOR DIMENSIONS GROUP, INC",14-Jan-13,"3,000.00"
"PO454283","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,"1,130.61"
"PO454284","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,75.03
"PO454285","COUNCIL OF THE DISTRICT OF COLUMBIA","6157310:DESK ACCESSORIES, RECYCLED","LASER ART INC",14-Jan-13,744
"PO454298","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","4851047:BRUSHES, CLEANING","MORGANS INC",14-Jan-13,82.5
"PO454298","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","2013758:PATCHES AND NAMEPLATES, UNIFORM","MORGANS INC",14-Jan-13,281.8
"PO454299","DEPARTMENT OF GENERAL SERVICES","9295800:Material Handling Equipment Maintenance and Repair","GAITHERSBURG FORD TRACTOR CO.",14-Jan-13,"25,000.00"
"PO454300","DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT","9625800:Professional Services (Not Otherwise Classified)","Roshann Brown",14-Jan-13,"85,000.00"
"PO454301-V3","DEPARTMENT OF GENERAL SERVICES","9883655:MOWING SERVICES (SELF-PROPELLED OR LAWN TRACTOR MOWER)","Clinton Lawnmower & Sm. Eng. Sales & Services Inc.",22-Aug-13,"2,393.97"
"PO454302","DEPARTMENT OF GENERAL SERVICES","9125000:Maintenance and Repair, Golf Course","Kohler Equipment, Inc.",14-Jan-13,"10,000.00"
"PO454303","DEPARTMENT OF GENERAL SERVICES","9582600:Construction Management Services","KEYSTONE PLUS CONSTRUCTION COR",14-Jan-13,"1,459,000.00"
"PO454304","OFFICE OF THE D.C. AUDITOR","8017644:SIGNS, INFORMATIONAL (MISC)","MANDATORY POSTER AGENCY",14-Jan-13,77.25
"PO454305","OFFICE OF THE D.C. AUDITOR","9204584:TECHNICAL SUPPORT, ONLINE ELECTRONIC","Lawrence I. Perry",14-Jan-13,432.88
"PO454306","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions)","SCHOLASTIC, INC.",14-Jan-13,"29,700.00"
"PO454307","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","7158500:Textbooks: Kindergarten thru 5th Grade (Includes Student and Teacher Editions)","SCHOLASTIC, INC.",14-Jan-13,600
"PO454308","DEPARTMENT OF MENTAL HEALTH","9152435:CABLE INSTALLATION FEES, TELEVISION","Smart TV Services Inc.",14-Jan-13,"3,078.00"
"PO454309","DEPARTMENT OF MENTAL HEALTH","9625800:Professional Services (Not Otherwise Classified)","Institute for Sexual Wellness",14-Jan-13,"1,500.00"
"PO454310","DEPARTMENT OF HEALTH","9852690:RENTAL OF XEROX COPY MACHINES (XEROX OR EQUAL)","ComputerData Solutions, LLC",14-Jan-13,"31,918.00"
"PO454311","DISTRICT OF COLUMBIA PUBLIC SCHOOLS","9180600:Administrative Consulting","MONICA M. NEAGOY",14-Jan-13,"2,600.00"
